Stephen Gostkowski	K	NE	16	33	36	92	57	52	52	9.9	159
Graham Gano	K	CAR	16	30	36	83	52	56	59	9.4	150
Blair Walsh	K	MIN	16	34	39	87	54	33	37	9.2	147
Robbie Gould	K	CHI	16	33	39	85	55	28	29	8.8	141
Josh Brown	K	NYG	16	30	32	94	53	44	45	8.8	140
Steven Hauschka	K	SEA	16	29	31	94	54	40	44	8.7	139
Cairo Santos	K	KC	16	30	37	81	53	39	41	8.6	137.12
Chandler Catanzaro	K	ARI	16	28	31	90	47	53	58	8.6	137
Justin Tucker	K	BAL	16	33	40	83	52	29	29	8.5	136
Brandon McManus	K	DEN	16	30	35	86	57	35	36	8.4	135
Dan Bailey	K	DAL	16	30	32	94	54	25	25	7.8	125
Mike Nugent	K	CIN	16	23	28	82	52	48	49	7.6	121
Dustin Hopkins	K	WAS	15	25	28	89	54	39	40	7.9	118
Adam Vinatieri	K	IND	16	25	27	93	55	32	35	7.3	117
Chris Boswell	K	PIT	12	29	32	91	51	26	27	9.8	117
Mason Crosby	K	GB	16	24	28	86	56	36	36	7.2	116
Jason Myers	K	JAX	16	26	30	87	58	32	39	7.2	116
Josh Lambo	K	SD	16	26	32	81	54	28	32	7.1	114
Matt Prater	K	DET	16	22	24	92	59	36	39	7	112
Dan Carpenter	K	BUF	16	23	27	85	52	34	40	6.8	109
Sebastian Janikowski	K	OAK	16	21	26	81	56	38	39	6.8	109
Travis Coons	K	CLE	16	28	32	88	47	22	24	6.6	106
Connor Barth	K	TB	12	23	28	82	53	25	26	8.3	100
Phil Dawson	K	SF	16	24	27	89	54	20	21	6.1	98
Caleb Sturgis	K	PHI	13	18	22	82	53	35	37	7.2	93
Greg Zuerlein	K	LA	14	20	30	67	61	26	28	6.6	92
Nick Novak	K	HOU	13	18	21	86	51	29	31	6.7	87
Randy Bullock	K	NYJ	11	19	23	83	49	22	25	7.2	79
Andrew Franks	K	MIA	16	13	16	81	53	33	36	4.6	74
Ryan Succop	K	TEN	16	14	16	88	51	29	31	4.6	73
Matt Bryant	K	ATL	10	14	18	78	47	26	26	6.8	68
Kai Forbath	K	WAS	11	10	15	67	57	34	35	6.2	68
Nick Folk	K	NYJ	8	13	16	81	55	19	19	7.8	62
Shayne Graham	K	ATL	6	11	13	85	54	8	8	9.8	49
Zach Hocker	K	LA	8	10	14	71	51	12	13	5.5	44
Kyle Brindza	K	TB	4	6	12	50	58	6	8	7	28
Josh Scobee	K	PIT	4	6	10	60	45	6	7	6	24
Cody Parkey	K	PHI	3	3	4	75	46	7	7	5.3	16
Billy Cundiff	K	BUF	1	0	0	0	0	0	0	0	0
Jordan Gay	K	BUF	14	0	0	0	0	0	0	0	0